repo,commits,lines_added,lines_deleted,total_lines_changed,net_lines_growth,releases_involved,real_files_found,filename
slick/slick,11,829,145,974,684,0,CLAUDE.md,slick_slick.md
amittell/firewalla-mcp-server,35,2019,1580,3599,439,7,CLAUDE.md,amittell_firewalla-mcp-server.md
ryanmac/code-conductor,14,428,42,470,386,4,CLAUDE.md,ryanmac_code-conductor.md
ydb-platform/ydb-embedded-ui,16,1065,211,1276,854,108,AGENTS.md,ydb-platform_ydb-embedded-ui.md
Azure/adx-mon,4,468,10,478,458,1,vendor/github.com/testcontainers/testcontainers-go/AI.md,Azure_adx-mon.md
dotnet/efcore,0,0,0,0,0,0,,dotnet_efcore.md
RosegoldMC/rosegold.cr,13,392,93,485,299,3,CLAUDE.md,RosegoldMC_rosegold.cr.md
NOAA-EMC/global-workflow,0,0,0,0,0,0,,NOAA-EMC_global-workflow.md
bdougie/contributor.info,49,682,503,1185,179,131,CLAUDE.md,bdougie_contributor.info.md
whiteducksoftware/flock,34,4116,2046,6162,2070,5,AGENTS.md,whiteducksoftware_flock.md
stampchain-io/BTCStampsExplorer,20,2240,1161,3401,1079,15,.cursorrules,stampchain-io_BTCStampsExplorer.md
Azure/terraform-azurerm-avm-res-authorization-roleassignment,3,245,206,451,39,0,AGENTS.md,Azure_terraform-azurerm-avm-res-authorization-roleassignment.md
cartography-cncf/cartography,27,2967,2681,5648,286,48,AGENTS.md,cartography-cncf_cartography.md
andrejvysny/spendly,6,505,4,509,501,0,AGENTS.md,andrejvysny_spendly.md
skip-mev/skip-go,4,499,20,519,479,85,AGENTS.md,skip-mev_skip-go.md
sugyan/claude-code-webui,46,1293,985,2278,308,58,CLAUDE.md,sugyan_claude-code-webui.md
ajanraj/OpenChat,17,830,829,1659,1,0,CLAUDE.md,ajanraj_OpenChat.md
safety-research/safety-tooling,2,192,1,193,191,0,CLAUDE.md,safety-research_safety-tooling.md
ryanaidilp/stadata_flutter_sdk,4,700,0,700,700,2,CLAUDE.md,ryanaidilp_stadata_flutter_sdk.md
elizaOS/eliza,23,670,1308,1978,-638,464,CLAUDE.md,elizaOS_eliza.md
stid/Apple1JS,26,1170,617,1787,553,0,CLAUDE.md,stid_Apple1JS.md
Clarity-Digital-Twin/big-mood-detector,27,938,736,1674,202,17,CLAUDE.md,Clarity-Digital-Twin_big-mood-detector.md
deeeed/expo-audio-stream,22,1482,1198,2680,284,61,CLAUDE.md,deeeed_expo-audio-stream.md
hedoluna/fft,31,1632,423,2055,1209,1,CLAUDE.md,hedoluna_fft.md
antimetal/system-agent,21,1110,646,1756,464,7,CLAUDE.md,antimetal_system-agent.md
shunkakinoki/dotfiles,3,209,209,418,0,0,CLAUDE.md,shunkakinoki_dotfiles.md
Nantero1/ai-first-devops-toolkit,3,231,6,237,225,2,CLAUDE.md,Nantero1_ai-first-devops-toolkit.md
yinzhenyu-su/weekly-git-summary,11,287,27,314,260,7,CLAUDE.md,yinzhenyu-su_weekly-git-summary.md
openfoodfacts/smooth-app,0,0,0,0,0,0,,openfoodfacts_smooth-app.md
IntelliTect/EssentialCSharp.Web,0,0,0,0,0,0,,IntelliTect_EssentialCSharp.Web.md
philips-software/roslyn-analyzers,0,0,0,0,0,0,,philips-software_roslyn-analyzers.md
srbhr/Resume-Matcher,18,562,562,1124,0,3,AGENTS.md,srbhr_Resume-Matcher.md
microsoft/typespec,0,0,0,0,0,0,,microsoft_typespec.md
ScrumGuides/ScrumGuide-ExpansionPack,5,764,52,816,712,2,agents.md,ScrumGuides_ScrumGuide-ExpansionPack.md
jamesmontemagno/feedbackflow,1,33,0,33,33,0,AGENTS.MD,jamesmontemagno_feedbackflow.md
dotnet/SqlClient,8,270,15,285,255,3,AGENTS.md,dotnet_SqlClient.md
